Year,Buses,Heavy trucks,Light commercial vehicles,Light passenger vehicles,Motorcycles,total
2001,0.144370297,2.187564322,5.187611882,28.80950446,0.233084076,36.56213504
2002,0.154140069,2.279460062,5.285308373,29.80482539,0.231557551,37.75529145
2003,0.16421347,2.359799335,5.399325666,30.75546492,0.233836752,38.91264014
2004,0.182300664,2.508857678,5.563463975,31.54996577,0.240007676,40.04459576
2005,0.195553698,2.57816222,5.664699875,31.7316143,0.271477149,40.44150724
2006,0.203752234,2.61210999,5.757995399,31.54148155,0.314629147,40.42996832
2007,0.211793484,2.683100797,5.935581898,31.90299115,0.340782948,41.07425028
2008,0.218216157,2.672390344,6.02464333,31.20787287,0.379847428,40.50297013
2009,0.224324172,2.533632336,6.018660447,31.29523366,0.395318522,40.46716914
2010,0.231910428,2.532557085,6.05511535,31.22747063,0.391879349,40.43893284
2011,0.228757378,2.539310194,6.079720535,30.74738724,0.38047969,39.97565504
2012,0.235310735,2.527745892,6.185157639,30.71753068,0.379309848,40.04505479
2013,0.242027067,2.582807767,6.445636782,31.00566061,0.387513023,40.66364525
2014,0.25144574,2.675203791,6.807515519,31.5662987,0.392492409,41.69295616
2015,0.258968201,2.731606851,7.243218752,32.57828086,0.402222941,43.21429761
2016,0.271387131,2.809543021,7.811167806,33.91038395,0.416001845,45.21848375
2017,0.289490445,2.950454657,8.402759921,34.74129238,0.421161596,46.805159
2018,0.306247337,3.041044158,8.994007877,35.29798896,0.435172255,48.07446059
2019,0.317665603,3.061291871,9.35308805,34.73816009,0.430651964,47.90085758
2020,0.282204049,3.033436652,9.461831112,33.04013639,0.415941336,46.23354954
