Region,Northland,Auckland,Gisborne,Hawkes Bay,Taranaki,Manawatu/Wanganui,Wellington,Nelson/Marlborough,Canterbury,Southland,Other Regions,total
2001,1.818242274,10.48316239,0.434296724,1.419970164,1.036708308,2.221517803,3.38231089,1.199819751,4.986406853,1.022698737,8.585866105,36.591
2002,1.826643447,10.89980665,0.440396228,1.455309355,1.06095455,2.257030671,3.473124801,1.238113942,5.208686302,1.025923032,8.904011018,37.79
2003,1.858765436,11.3457761,0.443421157,1.482407976,1.078023896,2.288173283,3.564385416,1.274210232,5.401129937,1.041989671,9.177716899,38.956
2004,1.886352354,11.75565976,0.446556874,1.511885379,1.098369709,2.319892995,3.661566113,1.323650643,5.591973405,1.058319765,9.440773005,40.095
2005,1.881529988,11.97246185,0.436819529,1.509832637,1.09605634,2.314341998,3.678902085,1.335505577,5.648597482,1.060990552,9.573961962,40.509
2006,1.849476008,12.06672768,0.428268034,1.506460392,1.085213146,2.286770769,3.663848078,1.334952585,5.675805167,1.056127026,9.57535111,40.529
2007,1.837752338,12.22295694,0.428875682,1.519101715,1.104254677,2.312722136,3.72460493,1.374807093,5.821887178,1.070185113,9.722852202,41.14
2008,1.776158905,12.09832843,0.409959928,1.486480619,1.089551202,2.251271389,3.665583022,1.35517316,5.787551647,1.065494874,9.586446822,40.572
2009,1.741338848,12.09914713,0.403004155,1.478684399,1.089715215,2.234567814,3.673152298,1.345352179,5.834537765,1.072672751,9.562827447,40.535
2010,1.70512578,12.14739224,0.396960499,1.467550936,1.088634096,2.212353084,3.688925849,1.33723562,5.816072765,1.064575884,9.57717325,40.502
2011,1.652002003,12.12637635,0.386937362,1.435477468,1.061571675,2.150208917,3.647836947,1.324207916,5.746922016,1.046535249,9.462924094,40.041
2012,1.617791478,12.29581664,0.37588092,1.420328702,1.056475972,2.130994227,3.626499113,1.318089092,5.845700062,1.039436036,9.381987755,40.109
2013,1.612881021,12.53115329,0.375904526,1.422422728,1.064561619,2.134135297,3.667825765,1.335212878,6.024496542,1.045515789,9.512890546,40.727
2014,1.62581528,12.95540228,0.37688443,1.436370713,1.075523918,2.179113698,3.715719631,1.36720841,6.209571922,1.062493339,9.756896383,41.761
2015,1.660798875,13.60411776,0.379868904,1.475374739,1.091496665,2.234110254,3.793677574,1.430271571,6.394626928,1.091496665,10.12516007,43.28100001
2016,1.722918404,14.38671947,0.389886713,1.537496703,1.117541606,2.304240495,3.932944629,1.52346479,6.631080954,1.122553003,10.62015323,45.289
2017,1.76988862,15.0039652,0.399878573,1.596507685,1.139503602,2.367200975,4.059920046,1.602520897,6.778893901,1.146519016,11.01520149,46.88000001
2018,1.814882303,15.38891918,0.402861781,1.641511437,1.159480301,2.427192124,4.16490936,1.656543593,6.954877516,1.173510313,11.36531209,48.15
2019,1.800941283,15.18322785,0.417914588,1.653618875,1.170561725,2.437334002,4.16912395,1.669653967,6.897093997,1.167555145,11.41197462,47.979
2020,1.767082697,14.29903673,0.413956412,1.6337747,1.149656184,2.411571735,4.077420539,1.639788594,6.645353533,1.14364229,11.13071659,46.312
